i;HALL_A;HALL_B;COIL_A;COIL_B
0.731994;62400;10494;54324;64900
0.732994;62334;10494;54308;64976
0.733994;62276;10496;54294;65050
0.734994;62212;10496;54280;65130
0.735994;62146;10494;54270;65206
0.736994;62086;10496;54256;65286
0.737994;62018;10496;54248;65364
0.738994;61958;10498;54232;65436
0.739994;61896;10496;54222;65514
0.740994;61834;10492;54212;50
0.741994;61768;10494;54204;130
0.742994;61710;10490;54190;212
0.743994;61650;10492;54182;288
0.744994;61582;10486;54176;364
0.745994;61526;10484;54170;444
0.746994;61458;10480;54162;520
0.747994;61402;10478;54156;600
0.748994;61340;10474;54148;676
0.749994;61278;10468;54142;754
0.750994;61216;10466;54136;832
0.751994;61156;10460;54130;912
0.752994;61094;10456;54124;988
0.753994;61036;10450;54120;1066
0.754994;60976;10444;54114;1144
0.755994;60914;10436;54116;1220
0.756994;60856;10426;54112;1298
0.757994;60796;10420;54108;1372
0.758994;60734;10414;54102;1448
0.759994;60678;10404;54108;1522
0.760994;60622;10398;54108;1604
0.761994;60562;10386;54102;1682
0.762994;60500;10378;54102;1758
0.763994;60440;10370;54108;1830
0.764994;60380;10354;54106;1908
0.765994;60322;10348;54110;1988
0.766994;60262;10338;54110;2056
0.767994;60204;10324;54114;2136
0.768994;60146;10314;54112;2218
0.769994;60090;10296;54120;2292
0.770994;60030;10284;54122;2372
0.771994;59970;10276;54124;2452
0.772994;59916;10260;54132;2532
0.773994;59858;10252;54132;2602
0.774994;59802;10236;54144;2676
0.775994;59744;10216;54150;2758
0.776994;59684;10204;54158;2838
0.777994;59626;10192;54160;2916
0.778994;59570;10176;54174;2992
0.779994;59512;10160;54180;3070
0.780994;59456;10144;54186;3148
0.781994;59398;10130;54194;3226
0.782993;59344;10114;54204;3296
0.783993;59288;10098;54216;3368
0.784993;59234;10076;54226;3444
0.785993;59178;10062;54238;3524
0.786993;59120;10042;54252;3596
0.787993;59068;10024;54260;3674
0.788993;59012;10006;54272;3754
0.789993;58960;9986;54292;3832
0.790993;58900;9968;54302;3906
0.791993;58854;9950;54310;3986
0.792993;58796;9930;54328;4062
0.793993;58742;9914;54342;4134
0.794993;58688;9890;54358;4214
0.795993;58634;9866;54374;4286
0.796993;58580;9844;54386;4364
0.797993;58526;9826;54406;4442
0.798993;58474;9802;54422;4518
0.799993;58416;9782;54442;4596
0.800993;58366;9758;54456;4672
0.801993;58310;9734;54478;4748
0.802993;58252;9714;54496;4818
0.803993;58206;9686;54516;4884
0.804993;58154;9664;54536;4960
0.805993;58104;9638;54556;5040
0.806993;58054;9620;54576;5114
0.807993;57998;9594;54598;5192
0.808993;57946;9572;54618;5266
0.809993;57900;9550;54638;5342
0.810993;57844;9524;54666;5416
0.811993;57798;9502;54686;5488
0.812993;57746;9474;54708;5566
0.813993;57696;9450;54730;5634
0.814993;57644;9426;54758;5710
0.815993;57594;9398;54784;5782
0.816993;57542;9370;54810;5852
0.817993;57496;9346;54836;5922
0.818993;57444;9312;54860;6000
0.819993;57394;9286;54886;6070
0.820993;57346;9256;54914;6140
